date, open, high, low, closing, swap
2011/03/25,81.01,81.5,80.88,81.47,2
2011/03/28,81.42,81.86,81.4,81.7,2
2011/03/29,81.74,82.49,81.54,82.45,4
2011/03/30,82.48,83.19,82.36,82.91,6
2011/03/31,82.92,83.23,82.57,83.14,2
2011/04/01,83.2,84.75,83.16,84.1,3
2011/04/04,84.23,84.4,83.85,84.05,2
2011/04/05,84.16,84.88,84.05,84.87,2
2011/04/06,85.21,85.53,84.84,85.48,9
2011/04/07,85.44,85.51,84.58,84.98,2
2011/04/08,85.06,85.4,84.67,84.86,3
2011/04/11,84.98,85.16,84.51,84.63,2
2011/04/12,84.66,84.8,83.46,83.57,2
2011/04/13,83.61,84.26,83.49,83.83,6
2011/04/14,83.93,83.94,82.95,83.49,2
2011/04/15,83.52,83.79,82.96,83.08,1
2011/04/18,83.1,83.27,82.18,82.63,1
2011/04/19,82.44,82.77,82.32,82.6,
2011/04/20,82.61,83.11,82.25,82.53,2
2011/04/21,82.52,82.58,81.58,81.86,-1
2011/04/22,81.85,82.12,81.66,81.93,
2011/04/25,81.92,82.44,81.66,81.84,
2011/04/26,81.83,81.99,81.48,81.57,6
2011/04/27,81.58,82.87,81.26,82.16,13
2011/04/28,82.25,82.28,81.4,81.52,
2011/04/29,81.57,81.66,81.04,81.12,5
2011/05/02,81.24,81.7,81,81.23,
2011/05/03,81.25,81.28,80.69,80.95,
2011/05/04,80.99,81.2,80.43,80.61,
2011/05/05,80.64,80.7,79.55,80.11,2
2011/05/06,80.27,80.95,80.2,80.58,2
2011/05/09,80.74,80.85,80.18,80.35,2
2011/05/10,80.29,80.92,80.15,80.87,2
2011/05/11,80.85,81.33,80.61,81.04,9
2011/05/12,81.14,81.35,80.71,80.95,2
2011/05/13,81.02,81.1,80.33,80.8,3
2011/05/16,80.95,81.08,80.63,80.79,2
2011/05/17,80.86,81.78,80.74,81.4,2
2011/05/18,81.45,81.73,80.93,81.66,5
2011/05/19,81.7,82.24,81.46,81.61,1
2011/05/20,81.68,81.87,81.48,81.69,
2011/05/23,81.76,82.05,81.32,81.99,1
2011/05/24,81.96,82.22,81.62,81.95,-1
2011/05/25,82,82.18,81.79,81.96,4
2011/05/26,82.03,82.1,81.15,81.29,
2011/05/27,81.39,81.4,80.7,80.87,2
2011/05/30,80.85,81.01,80.76,80.96,-1
2011/05/31,80.96,81.78,80.71,81.51,-1
2011/06/01,81.54,81.54,80.62,80.96,3
