date, open, high, low ,closing, swap
2023/03/24,130.86,130.95,129.63,130.73,191
2023/03/27,130.83,131.775,130.49,131.585,187
2023/03/28,131.58,131.59,130.39,130.96,187
2023/03/29,130.86,132.905,130.745,132.855,685
2023/03/30,132.785,132.955,132.2,132.72,190
2023/03/31,132.71,133.605,132.59,132.765,189
2023/04/03,133.255,133.765,132.19,132.425,190
2023/04/04,132.455,133.185,131.515,131.77,188
2023/04/05,131.73,131.86,130.54,131.335,560
2023/04/06,131.265,131.905,130.78,131.78,198
2023/04/07,131.69,132.39,131.36,132.23,206
2023/04/10,132.035,133.885,131.835,133.62,200
2023/04/11,133.555,133.805,132.96,133.685,194
2023/04/12,133.695,134.05,132.715,133.13,580
2023/04/13,133.105,133.4,132.01,132.56,193
2023/04/14,132.59,133.85,132.155,133.78,193
2023/04/17,133.805,134.585,133.7,134.485,191
2023/04/18,134.48,134.72,133.845,134.1,190
2023/04/19,134.095,135.155,133.945,134.705,573
2023/04/20,134.625,134.975,134,134.22,194
2023/04/21,134.245,134.505,133.54,134.08,192
2023/04/24,134.07,134.745,133.88,134.275,190
2023/04/25,134.245,134.47,133.355,133.73,188
2023/04/26,133.725,133.945,133,133.665,573
2023/04/27,133.66,134.21,133.225,134.035,194
2023/04/28,133.965,136.58,133.245,136.255,1236
2023/05/01,136.275,137.55,136.185,137.475,210
2023/05/02,137.505,137.785,136.3,136.595,
2023/05/03,136.575,136.58,134.795,134.855,
2023/05/04,134.655,134.89,133.485,134.275,
2023/05/05,134.26,135.13,133.87,134.825,205
2023/05/08,135.005,135.3,134.64,135.09,202
2023/05/09,135.055,135.355,134.705,135.25,202
2023/05/10,135.22,135.48,134.1,134.385,599
2023/05/11,134.335,134.86,133.735,134.54,201
2023/05/12,134.49,135.76,134.395,135.715,202
2023/05/15,135.825,136.335,135.695,136.125,202
2023/05/16,136.11,136.7,135.65,136.415,200
2023/05/17,136.355,137.72,136.3,137.63,600
2023/05/18,137.59,138.76,137.275,138.725,206
2023/05/19,138.655,138.705,137.415,137.95,210
2023/05/22,137.88,138.7,137.485,138.57,203
2023/05/23,138.565,138.915,138.235,138.6,203
2023/05/24,138.565,139.49,138.22,139.43,813
2023/05/25,139.395,140.235,138.845,140.075,
2023/05/26,140.09,140.73,139.485,140.585,208
2023/05/29,140.81,140.93,140.1,140.46,231
2023/05/30,140.37,140.95,139.555,139.76,214
2023/05/31,139.77,140.44,139.22,139.33,624
2023/06/01,139.29,140.12,138.4,138.835,207
2023/06/02,138.795,140.07,138.595,139.99,207
2023/06/05,140.07,140.46,139.235,139.575,208
2023/06/06,139.53,140,139.09,139.67,205
2023/06/07,139.66,140.25,139.01,140.2,609
2023/06/08,140.07,140.205,138.8,138.905,206
2023/06/09,138.925,139.73,138.75,139.47,207
2023/06/12,139.455,139.76,139.05,139.62,205
2023/06/13,139.61,140.32,138.95,140.21,207
2023/06/14,140.235,140.285,139.285,140.1,830
2023/06/15,140.03,141.52,139.94,140.3,0
2023/06/16,140.29,141.9,139.84,141.85,210
2023/06/19,141.875,142.015,141.43,141.98,214
2023/06/20,141.96,142.26,141.2,141.465,213
2023/06/21,141.415,142.38,141.27,141.88,630
2023/06/22,141.845,143.24,141.6,143.115,212
2023/06/23,143.065,143.89,142.64,143.75,215
2023/06/26,143.7,143.735,142.935,143.515,211
2023/06/27,143.495,144.18,143.27,144.085,211
2023/06/28,144.065,144.63,143.725,144.5,649
2023/06/29,144.41,144.915,144.125,144.775,427
2023/06/30,144.785,145.075,144.19,144.29,0
2023/07/03,144.345,144.93,143.97,144.71,219
2023/07/04,144.64,144.725,144.2,144.45,218
2023/07/05,144.49,144.75,144.075,144.69,624
2023/07/06,144.555,144.665,143.545,144.085,214
2023/07/07,144.03,144.21,142.07,142.1,213
2023/07/10,142.205,143.01,141.265,141.29,210
2023/07/11,141.375,141.475,140.145,140.38,209
2023/07/12,140.38,140.385,138.15,138.55,813
2023/07/13,138.465,138.965,137.92,138.085,206
2023/07/14,138.035,139.175,137.25,138.87,0
2023/07/17,138.845,139.42,138,138.695,205
2023/07/18,138.725,139.135,137.665,138.83,206
2023/07/19,138.82,140.01,138.76,139.7,608
2023/07/20,139.64,140.51,139.1,140.09,206
2023/07/21,140.085,141.965,139.74,141.755,207
2023/07/24,141.8,141.8,140.745,141.52,209
2023/07/25,141.48,141.75,140.845,140.95,217
2023/07/26,140.955,141.195,139.9,140.265,650
2023/07/27,140.235,141.305,138.75,139.535,226
2023/07/28,139.515,141.355,138.045,141.105,219
2023/07/31,141.045,142.7,140.69,142.265,226
2023/08/01,142.24,143.56,142.2,143.35,223
2023/08/02,142.925,143.48,142.235,143.33,665
2023/08/03,143.295,143.9,142.05,142.51,229
2023/08/04,142.505,143.205,141.545,141.83,224
